username_s,username_t,slug,title,group_s,group_t
barrons,ps1,refugee-learning-accelerator,Refugee Learning Accelerator,Initiatives,Initiatives
jnazare,ps1,askii,Askii,Social Machines,Initiatives
jnazare,ps1,making-learning-work,Making Learning Work,Social Machines,Initiatives
jnazare,ps1,read-out-loud,Read Out Loud,Social Machines,Initiatives
jnazare,ps1,media-lab-digital-certificates,Digital Academic Credentials,Social Machines,Initiatives
srishti,ps1,media-lab-virtual-visit,Media Lab Virtual Visit,Lifelong Kindergarten,Initiatives
srishti,ps1,media-lab-digital-certificates,Digital Academic Credentials,Lifelong Kindergarten,Initiatives
kamcco,ps1,media-lab-virtual-visit,Media Lab Virtual Visit,Initiatives,Initiatives
kamcco,ps1,making-learning-work,Making Learning Work,Initiatives,Initiatives
kamcco,ps1,peer-2-peer-university,Peer 2 Peer University,Initiatives,Initiatives
kamcco,ps1,open-leadership-camp,Open Leadership Camp,Initiatives,Initiatives
kamcco,ps1,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Initiatives
kamcco,ps1,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
kamcco,ps1,lego-wayfinder,LEGO Wayfinder,Initiatives,Initiatives
ave,ps1,lego-wayfinder,LEGO Wayfinder,Initiatives,Initiatives
katybell,ps1,lego-wayfinder,LEGO Wayfinder,Other,Initiatives
guyzys,ps1,media-lab-digital-certificates,Digital Academic Credentials,Human Dynamics,Initiatives
yumikom,ps1,open-leadership-camp,Open Leadership Camp,Lifelong Kindergarten,Initiatives
hbailey,ps1,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
lguterma,ps1,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
cohenm,ps1,public-library-innovation-exchange,Public Library Innovation Exchange,Camera Culture,Initiatives
ps1,barrons,refugee-learning-accelerator,Refugee Learning Accelerator,Initiatives,Initiatives
ps1,jnazare,askii,Askii,Initiatives,Social Machines
ps1,jnazare,making-learning-work,Making Learning Work,Initiatives,Social Machines
ps1,jnazare,read-out-loud,Read Out Loud,Initiatives,Social Machines
ps1,jnazare,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Social Machines
srishti,jnazare,media-lab-digital-certificates,Digital Academic Credentials,Lifelong Kindergarten,Social Machines
kamcco,jnazare,making-learning-work,Making Learning Work,Initiatives,Social Machines
kamcco,jnazare,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Social Machines
minasg,jnazare,playful-words,Playful Words,Social Machines,Social Machines
minasg,jnazare,play-analytics,Play Analytics,Social Machines,Social Machines
guyzys,jnazare,media-lab-digital-certificates,Digital Academic Credentials,Human Dynamics,Social Machines
echu,jnazare,playful-words,Playful Words,Social Machines,Social Machines
echu,jnazare,play-analytics,Play Analytics,Social Machines,Social Machines
saquib,jnazare,playful-words,Playful Words,Social Machines,Social Machines
anneli,jnazare,family-learning-coach,Learning Loops,Social Machines,Social Machines
anneli,jnazare,playful-words,Playful Words,Social Machines,Social Machines
anneli,jnazare,play-analytics,Play Analytics,Social Machines,Social Machines
anneli,jnazare,storyblocks,StoryBlocks,Social Machines,Social Machines
bonnerd,jnazare,family-learning-coach,Learning Loops,Other,Social Machines
snehapm,jnazare,family-learning-coach,Learning Loops,Social Machines,Social Machines
snehapm,jnazare,playful-words,Playful Words,Social Machines,Social Machines
snehapm,jnazare,storyblocks,StoryBlocks,Social Machines,Social Machines
sballing,jnazare,family-learning-coach,Learning Loops,Social Machines,Social Machines
sballing,jnazare,storyblocks,StoryBlocks,Social Machines,Social Machines
exposito,jnazare,storyblocks,StoryBlocks,Social Machines,Social Machines
pbansal,jnazare,playful-words,Playful Words,Social Machines,Social Machines
isysoev,jnazare,playful-words,Playful Words,Social Machines,Social Machines
isysoev,jnazare,play-analytics,Play Analytics,Social Machines,Social Machines
ps1,srishti,media-lab-virtual-visit,Media Lab Virtual Visit,Initiatives,Lifelong Kindergarten
ps1,srishti,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Lifelong Kindergarten
jnazare,srishti,media-lab-digital-certificates,Digital Academic Credentials,Social Machines,Lifelong Kindergarten
kamcco,srishti,media-lab-virtual-visit,Media Lab Virtual Visit,Initiatives,Lifelong Kindergarten
kamcco,srishti,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Lifelong Kindergarten
guyzys,srishti,media-lab-digital-certificates,Digital Academic Credentials,Human Dynamics,Lifelong Kindergarten
ps1,kamcco,media-lab-virtual-visit,Media Lab Virtual Visit,Initiatives,Initiatives
ps1,kamcco,making-learning-work,Making Learning Work,Initiatives,Initiatives
ps1,kamcco,peer-2-peer-university,Peer 2 Peer University,Initiatives,Initiatives
ps1,kamcco,open-leadership-camp,Open Leadership Camp,Initiatives,Initiatives
ps1,kamcco,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Initiatives
ps1,kamcco,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
ps1,kamcco,lego-wayfinder,LEGO Wayfinder,Initiatives,Initiatives
jnazare,kamcco,making-learning-work,Making Learning Work,Social Machines,Initiatives
jnazare,kamcco,media-lab-digital-certificates,Digital Academic Credentials,Social Machines,Initiatives
srishti,kamcco,media-lab-virtual-visit,Media Lab Virtual Visit,Lifelong Kindergarten,Initiatives
srishti,kamcco,media-lab-digital-certificates,Digital Academic Credentials,Lifelong Kindergarten,Initiatives
ave,kamcco,lego-wayfinder,LEGO Wayfinder,Initiatives,Initiatives
katybell,kamcco,lego-wayfinder,LEGO Wayfinder,Other,Initiatives
guyzys,kamcco,media-lab-digital-certificates,Digital Academic Credentials,Human Dynamics,Initiatives
yumikom,kamcco,open-leadership-camp,Open Leadership Camp,Lifelong Kindergarten,Initiatives
hbailey,kamcco,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
lguterma,kamcco,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
cohenm,kamcco,public-library-innovation-exchange,Public Library Innovation Exchange,Camera Culture,Initiatives
ps1,yumikom,open-leadership-camp,Open Leadership Camp,Initiatives,Lifelong Kindergarten
kamcco,yumikom,open-leadership-camp,Open Leadership Camp,Initiatives,Lifelong Kindergarten
ps1,guyzys,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Human Dynamics
jnazare,guyzys,media-lab-digital-certificates,Digital Academic Credentials,Social Machines,Human Dynamics
srishti,guyzys,media-lab-digital-certificates,Digital Academic Credentials,Lifelong Kindergarten,Human Dynamics
kamcco,guyzys,media-lab-digital-certificates,Digital Academic Credentials,Initiatives,Human Dynamics
amirl,guyzys,ethos,Ethos,Viral Communications,Human Dynamics
ps1,hbailey,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
kamcco,hbailey,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
lguterma,hbailey,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
cohenm,hbailey,public-library-innovation-exchange,Public Library Innovation Exchange,Camera Culture,Initiatives
ps1,lguterma,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
kamcco,lguterma,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
hbailey,lguterma,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Initiatives
cohenm,lguterma,public-library-innovation-exchange,Public Library Innovation Exchange,Camera Culture,Initiatives
ps1,cohenm,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Camera Culture
kamcco,cohenm,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Camera Culture
hbailey,cohenm,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Camera Culture
lguterma,cohenm,public-library-innovation-exchange,Public Library Innovation Exchange,Initiatives,Camera Culture
ps1,katybell,lego-wayfinder,LEGO Wayfinder,Initiatives,Other
novysan,katybell,neaq-2069,NEAQ 2069: Envisioning the Future Aquarium Experience,Object Based Media,Other
kamcco,katybell,lego-wayfinder,LEGO Wayfinder,Initiatives,Other
ave,katybell,lego-wayfinder,LEGO Wayfinder,Initiatives,Other
trich,katybell,journal-of-open-exploration,Journal of Open Exploration,Other,Other
nlutz,katybell,connected-coral,Connected Coral,Object Based Media,Other
emilysa,katybell,connected-coral,Connected Coral,Object Based Media,Other
emilysa,katybell,neaq-2069,NEAQ 2069: Envisioning the Future Aquarium Experience,Object Based Media,Other
ahope,katybell,my-deepsea-mybackyard,"My Deep Sea, My Backyard",Civic Media,Other
gaikwad,katybell,big-ocean-big-data,"Big Ocean, Big Data",Space Enabled,Other
aekblaw,katybell,journal-of-open-exploration,Journal of Open Exploration,Responsive Environments,Other
ps1,ave,lego-wayfinder,LEGO Wayfinder,Initiatives,Initiatives
kamcco,ave,lego-wayfinder,LEGO Wayfinder,Initiatives,Initiatives
devora,ave,field-experimentation-in-boston-s-intertidal-zone,Field Experimentation in Boston's Intertidal Zone,Responsive Environments,Initiatives
devora,ave,oceancultures,Ocean Cultures,Responsive Environments,Initiatives
devora,ave,empowered-brains,"Ecology, Evolution, and Engineering for Empowered Brains",Responsive Environments,Initiatives
katybell,ave,lego-wayfinder,LEGO Wayfinder,Other,Initiatives
pcuellar,ave,empowered-brains,"Ecology, Evolution, and Engineering for Empowered Brains",Civic Media,Initiatives
erikad,ave,engineering-microbial-ecosystems,Engineering Microbial Ecosystems,Sculpting Evolution,Initiatives
jvanzak,ave,empowered-brains,"Ecology, Evolution, and Engineering for Empowered Brains",Mediated Matter,Initiatives
slavin,cwwang,tools-for-super-human-time-perception,Tools for Super-Human Time Perception,Other,Playful Systems
slavin,cwwang,darkball,Darkball,Other,Playful Systems
slavin,cwwang,radio_o,radiO_o,Other,Playful Systems
novysan,cwwang,radio_o,radiO_o,Object Based Media,Playful Systems
tjlevy,cwwang,radio_o,radiO_o,Playful Systems,Playful Systems
geppetto,cwwang,radio_o,radiO_o,Responsive Environments,Playful Systems
slavin,gregab,deepview-computational-tools-for-chess-spectatorship,DeepView: Computational Tools for Chess Spectatorship,Other,Playful Systems
slavin,gregab,sneak-a-hybrid-digital-physical-tabletop-game,Sneak: A Hybrid Digital-Physical Tabletop Game,Other,Playful Systems
slavin,tjlevy,beneath-the-chip,beneath the chip,Other,Playful Systems
slavin,tjlevy,radio_o,radiO_o,Other,Playful Systems
cwwang,tjlevy,radio_o,radiO_o,Playful Systems,Playful Systems
novysan,tjlevy,radio_o,radiO_o,Object Based Media,Playful Systems
geppetto,tjlevy,radio_o,radiO_o,Responsive Environments,Playful Systems
slavin,joscha,micropsi-an-architecture-for-motivated-cognition,MicroPsi: An Architecture for Motivated Cognition,Other,Playful Systems
slavin,joscha,cognitive-integration-the-nature-of-the-mind,Cognitive Integration: The Nature of the Mind,Other,Playful Systems
amarbles,joscha,cognitive-integration-the-nature-of-the-mind,Cognitive Integration: The Nature of the Mind,Synthetic Neurobiology,Playful Systems
slavin,mslw,for-once-in-your-life,For Once In Your Life...,Other,Playful Systems
slavin,mslw,hello-operator,"Hello, Operator!",Other,Playful Systems
slavin,geppetto,radio_o,radiO_o,Other,Responsive Environments
cwwang,geppetto,radio_o,radiO_o,Playful Systems,Responsive Environments
novysan,geppetto,radio_o,radiO_o,Object Based Media,Responsive Environments
tjlevy,geppetto,radio_o,radiO_o,Playful Systems,Responsive Environments
slavin,novysan,radio_o,radiO_o,Other,Object Based Media
cwwang,novysan,radio_o,radiO_o,Playful Systems,Object Based Media
rssmith,novysan,wheels-of-poseidon,Wheels of Poseidon,Mediated Matter,Object Based Media
danoran,novysan,wheels-of-poseidon,Wheels of Poseidon,Synthetic Neurobiology,Object Based Media
amores,novysan,psychicvr,PsychicVR,Fluid Interfaces,Object Based Media
djfitz,novysan,laser-face,LaserVision,Tangible Media,Object Based Media
xavib,novysan,psychicvr,PsychicVR,Fluid Interfaces,Object Based Media
tjlevy,novysan,radio_o,radiO_o,Playful Systems,Object Based Media
katybell,novysan,neaq-2069,NEAQ 2069: Envisioning the Future Aquarium Experience,Other,Object Based Media
emilysa,novysan,neaq-2069,NEAQ 2069: Envisioning the Future Aquarium Experience,Object Based Media,Object Based Media
geppetto,novysan,radio_o,radiO_o,Responsive Environments,Object Based Media
jhaas,novysan,zero-g-ames,Zero-G-ames,Other,Object Based Media
slavin,jbobrow,automatiles,AutomaTiles,Other,Playful Systems
slavin,jbobrow,dice,Dice++,Other,Playful Systems
saquib,jbobrow,storyboards,Storyboards,Social Machines,Playful Systems
shantell,jbobrow,storyboards,Storyboards,Social Computing,Playful Systems
slavin,jieqi,circuit-storybook,Circuit Storybook,Other,Other
chrisg,jieqi,start-making,Start Making!,Lifelong Kindergarten,Other
mellis,jieqi,start-making,Start Making!,Lifelong Kindergarten,Other
ria,jieqi,start-making,Start Making!,Lifelong Kindergarten,Other
ttseng,jieqi,start-making,Start Making!,Lifelong Kindergarten,Other
