username_s,username_t,n_projects
adamjhh,abyjain,2
agrignar,aberke,1
agrignar,agnis,1
alonsolp,aberke,1
alonsolp,agnis,1
alonsolp,agrignar,19
alonsolp,aizpurua,1
alotaibi,alfredom,1
amohan,akanes,1
amores,abyjain,1
amores,adamjhh,1
amores,afuste,1
amosg,achituv,1
andreuhl,aekblaw,1
apaolaza,alhadidi,1
arista,almaha,1
artemd,amores,1
asma_gh,agata,1
asma_gh,akanes,1
avujic,abyjain,1
avujic,amores,1
aymerich,agata,1
azaria,akanes,1
azaria,asma_gh,2
bader_ch,asling,2
bakker,alfredom,1
barmak,aghasi,1
benb,akito,1
billp,aheyward,1
bjun,aamena,1
bonnerd,anneli,1
bowman,ascii,1
bridgitm,bcroy,1
cail,asling,1
cail,bader_ch,1
cassiano,abhia,1
cdvm,afuste,1
cebrian,alexis,1
cebrian,blakeley,1
changzj,achituv,1
changzj,amores,2
chrwang,ajking,1
cindykao,andresc,1
cindykao,artemd,4
clarkds,basheer,1
clites,bmaimon,1
cq_zhang,abhia,2
cq_zhang,cassiano,2
crisjf,amy_yu,1
crisjf,arista,1
crisjf,bjun,1
crisjf,ccandiav,2
crtaylor,bmaimon,1
crtaylor,clites,1
csmuts,aberke,1
csmuts,agnis,1
csmuts,agrignar,6
csmuts,alonsolp,6
csmuts,cassiano,2
cvx,akanes,4
cwillisf,ascii,1
cwillisf,bowman,1
danask,branger,1
danoran,chenf,1
darweesh,asling,1
darweesh,bader_ch,2
darweesh,cail,2
davidzac,calebh,1
dcalacci,aberke,1
dcalacci,amohan,1
ddh,akito,1
ddh,basheer,1
ddh,bmayton,2
ddh,danoran,1
delapa,calebh,5
devisj,agnis,1
devisj,agrignar,7
devisj,alonsolp,7
devisj,csmuts,5
devora,ave,3
dhaval,dcalacci,1
dignazio,a_hashmi,1
dignazio,ahope,1
djain,amores,1
djfitz,andresc,1
djfitz,clarkds,1
dkong,abyjain,1
dkong,amores,1
dkong,avujic,2
dkong,desireed,1
dlizardo,achituv,1
dlizardo,asling,1
dlizardo,bader_ch,1
dlizardo,darweesh,1
dmajilo,artemd,2
dmajilo,cindykao,2
dnunez,akito,1
dnunez,benb,1
doorleyr,agrignar,9
doorleyr,alonsolp,10
doorleyr,csmuts,3
doorleyr,devisj,5
dougb5,ajking,1
dougb5,chrwang,1
dsjen,ahope,1
dsouza,awad,3
