USERNAME,N_projects,ML_GROUP,is_affiliate,ML_GROUP_COLOR,degree,betweenness_centrality,eigenvector_centrality,infomap_community,infomap_community_COLOR
a_hashmi,3,Civic Media,True,#db9057,2,0.0,2.2357121918400996e-05,45,#8557db
dignazio,6,Civic Media,True,#db9057,4,0.0006214191320247047,6.47889139774343e-05,45,#8557db
elplatt,2,Civic Media,False,#db9057,1,0.0,1.82362933660469e-05,45,#8557db
emreiser,3,Civic Media,False,#db9057,4,0.010125026820697524,0.002951461604121049,45,#8557db
erhardt,2,Civic Media,False,#db9057,2,0.0,0.0002059552662278553,45,#8557db
jnmatias,7,Civic Media,False,#db9057,2,0.0,1.947500940098734e-05,45,#8557db
mavipasi,2,Civic Media,False,#db9057,3,0.002977537109745596,1.9554443245650567e-05,45,#8557db
ngyenes,1,Civic Media,True,#db9057,2,0.0,1.947500940098734e-05,45,#8557db
rahulb,9,Civic Media,False,#db9057,12,0.02291465117723842,0.0002867159465872601,45,#8557db
rubezc,1,Civic Media,False,#db9057,1,0.0,1.2437687455703031e-06,45,#8557db
perovich,4,Object Based Media,False,#db5799,2,0.0,1.94800621116172e-05,45,#8557db
ahope,4,Civic Media,False,#db9057,8,0.015240677089439991,0.0006561526864425329,21,#57db5f
dsjen,1,Civic Media,False,#db9057,3,0.0,8.694086968667962e-05,21,#57db5f
lemeb,1,Civic Media,False,#db9057,4,0.0,0.00036243830576480565,21,#57db5f
matt54,3,Civic Media,False,#db9057,3,0.00013071902238921638,5.342103179241766e-05,21,#57db5f
kzh,5,Collective Learning,False,#aadb57,4,0.0017153227857217809,0.0001189731665879178,21,#57db5f
britneyj,4,Viral Communications,False,#91db57,6,0.007506188330611583,0.00036876424232886937,21,#57db5f
jasrub,6,Viral Communications,False,#91db57,7,0.011702512124829697,0.0004240205176329994,21,#57db5f
thariq,5,Viral Communications,False,#91db57,4,0.0109663943211645,0.00015972429069975797,21,#57db5f
pewebb,4,Tangible Media,False,#5789db,13,0.04271698984307003,0.0039039764319910948,21,#57db5f
katybell,7,Other,False,#5757db,11,0.0626280123177808,0.008687480241927687,21,#57db5f
trich,7,Other,False,#5757db,8,0.013170829498894617,0.0010012153804693498,21,#57db5f
emilysa,3,Object Based Media,False,#db5799,3,0.004134389286131239,0.0082755044638618,21,#57db5f
csbishop,3,Civic Media,False,#db9057,1,0.0,1.4575787039096084e-36,7,#dbb757
lorrie,2,Civic Media,False,#db9057,1,0.0,1.4575787039096084e-36,7,#dbb757
kanaya,1,Civic Media,True,#db9057,3,0.0,4.006561833368215e-25,49,#b757db
itot,2,Collective Learning,True,#aadb57,3,0.0,4.006561833368215e-25,49,#b757db
bandy,1,Synthetic Neurobiology,True,#57dbb2,3,0.0,4.006561833368215e-25,49,#b757db
shoh,1,Synthetic Neurobiology,False,#57dbb2,3,0.0,4.006561833368215e-25,49,#b757db
oi7,6,Civic Media,False,#db9057,9,0.02549998492399088,0.04294622462888046,0,#db5f57
aberke,5,City Science,False,#dbdb57,12,0.011459083279063111,0.1447230644113831,0,#db5f57
agnis,2,City Science,False,#dbdb57,12,0.0003231311801505191,0.16054950149383324,0,#db5f57
agrignar,21,City Science,False,#dbdb57,23,0.01150040377965326,0.2717267841957123,0,#db5f57
