username_s,username_t,overlap,n_proj,collisionPotential,collisionPotential_100,collisionPotential_200,collisionPotential_300,collisionPotential_400,collisionPotential_500,collisionPotential_600,collisionPotential_700,collisionPotential_800,collisionPotential_900,collisionPotential_1000,collisionPotential_1100,collisionPotential_1200,collisionPotential_1300,collisionPotential_1400,collisionPotential_1500,collisionPotential_1750,collisionPotential_2000,collisionPotential_2500,collisionPotential_3000,collisionPotential_3500,collisionPotential_4000,collisionPotential_4500,collisionPotential_5000,collisionPotential_5500,collisionPotential_6000,collisionPotential_6500,collisionPotential_7000,collisionPotential_7500,collisionPotential_8000,collisionPotential_8500,collisionPotential_9000,ML_GROUP_s,diff_s,diff2ref_s,TITLE_s,ML_GROUP_t,diff_t,diff2ref_t,TITLE_t,ageOldestUser,ageYoungestUser,SAME_GROUP,collab,collabpm,projectspm,collisionPotential_dis
j_duro,benb,2464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Mediated Matter,2464.0,2464,Research Assistant,Opera of the Future,5021.0,5021,Research Assistant,2464.0,5021.0,0,0,0.0,0.0,1300
thomassl,benb,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,City Science,1612.0,1612,Other,Opera of the Future,5021.0,5021,Research Assistant,1612.0,5021.0,0,0,0.0,0.0,4500
mavipasi,benb,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Civic Media,257.0,257,Other,Opera of the Future,5021.0,5021,Research Assistant,257.0,5021.0,0,0,0.0,0.0,3500
joaleong,benb,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tangible Media,201.0,201,Research Assistant,Opera of the Future,5021.0,5021,Research Assistant,201.0,5021.0,0,0,0.0,0.0,4000
alfredom,benb,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Human Dynamics,796.0,796,Other,Opera of the Future,5021.0,5021,Research Assistant,796.0,5021.0,0,0,0.0,0.0,7500
holbrow,benb,2830.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Opera of the Future,2830.0,2830,Research Assistant,Opera of the Future,5021.0,5021,Research Assistant,2830.0,5021.0,1,1,0.01074793875147232,0.03224381625441696,700
singhv,benb,1369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Human Dynamics,1369.0,1369,Other,Opera of the Future,5021.0,5021,Research Assistant,1369.0,5021.0,0,0,0.0,0.0,7000
dlmocdm,benb,2708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Affective Computing,2708.0,2708,Research Assistant,Opera of the Future,5021.0,5021,Research Assistant,2708.0,5021.0,0,0,0.0,0.0,3500
sfedor,benb,3073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Affective Computing,3073.0,3073,Other,Opera of the Future,5021.0,5021,Research Assistant,3073.0,5021.0,0,0,0.0,0.0,3500
lorrie,benb,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Civic Media,165.0,165,Other,Opera of the Future,5021.0,5021,Research Assistant,165.0,5021.0,0,0,0.0,0.0,3000
